Unnamed: 0,Com_Ori,Com_Des,Mun_Ori,Mun_Des,Modo,Hora_Ini,Recur,Municipio,Per_hog,Turismos,Motos,Tipo_familia,Sexo,Edad,Actividad,crnt_tur,Año,Income,Income_Percentile,O_long,O_lat,D_long,D_lat
487,Bidasoa,Donostialdea,Irun,Urnieta,Coche conductor,10:20,22,Irun,2,3,2,Otros hogares sin niños,1,5,1,1,2021,27890.81,4,-1.7474916096017346,43.3303216524905,-2.033693,43.256347
488,Donostialdea,Donostialdea,Errenteria,Donostia/San Sebastian,Coche conductor,08:30,22,Errenteria,2,2,1,Otros hogares sin niños,2,3,1,1,2021,18671.675,1,-1.9089895863498891,43.31399663024324,-2.033693,43.256347
489,Donostialdea,Donostialdea,Donostia/San Sebastian,Errenteria,Coche conductor,17:30,22,Errenteria,2,3,1,2 adultos con niño(s),2,5,1,1,2021,25718.91,3,-1.967000053872367,43.28804045513366,-2.033693,43.256347
490,Urola Kosta       ,Donostialdea,Zarautz,Donostia/San Sebastian,Coche conductor,10:00,21,Zarautz,1,3,1,2 adultos,1,6,1,1,2021,24578.070000000003,2,-2.1753311663528416,43.28439127976208,-2.033693,43.256347
491,Bidasoa,Donostialdea,Irun,Andoain,Coche conductor,13:20,22,Irun,2,3,1,Otros hogares sin niños,1,4,1,1,2021,26664.11,4,-1.8057240705735664,43.3274927720914,-2.033693,43.256347
492,Donostialdea,Donostialdea,Lasarte-Oria,Donostia/San Sebastian,Coche conductor,08:00,22,Lasarte-Oria,2,3,1,2 adultos con niño(s),2,5,1,1,2021,25859.81,3,-2.019555532213849,43.26703626481199,-2.033693,43.256347
493,Donostialdea,Donostialdea,Donostia/San Sebastian,Errenteria,Coche pasajero,13:00,22,Errenteria,2,2,1,Otros hogares sin niños,1,3,1,1,2021,18964.025,1,-1.961131670247288,43.30722466450699,-2.033693,43.256347
494,Donostialdea,Donostialdea,Donostia/San Sebastian,Pasaia,Autobús interurbano,19:00,22,Pasaia,2,3,2,Otros hogares con niños,2,3,1,1,2021,23269.735,2,-1.9355108572459585,43.31397472770738,-2.033693,43.256347
495,Tolosaldea,Donostialdea,Tolosa,Donostia/San Sebastian,RENFE,17:30,22,Donostia/San Sebastian,1,2,1,2 adultos,2,6,1,1,2021,26537.96,4,-2.0825575582733142,43.13744351354767,-2.033693,43.256347
496,Donostialdea,Donostialdea,Urnieta,Lasarte-Oria,Taxi,07:30,22,Urnieta,2,2,1,Otros hogares sin niños,1,5,1,2,2021,22750.65,1,-1.98383084199232,43.23268466206657,-2.033693,43.256347
497,Tolosaldea,Donostialdea,Tolosa,Donostia/San Sebastian,RENFE,06:45,22,Tolosa,2,2,1,2 adultos con niño(s),1,5,1,1,2021,27963.51,4,-2.0754408899287213,43.13388338259745,-2.033693,43.256347
498,Donostialdea,Donostialdea,Errenteria,Donostia/San Sebastian,Coche conductor,12:30,23,Donostia/San Sebastian,2,2,1,Otros hogares sin niños,1,6,1,1,2021,28231.56,4,-1.8984283623785447,43.30977155063084,-2.033693,43.256347
499,Donostialdea,Donostialdea,Lasarte-Oria,Donostia/San Sebastian,EUSKOTREN,07:30,22,Lasarte-Oria,2,4,1,2 adultos con niño(s),2,5,1,1,2021,25859.81,3,-2.018916596203464,43.257205944418736,-2.033693,43.256347
500,Bidasoa,Donostialdea,Hondarribia,Lezo,Coche conductor,05:30,22,Hondarribia,2,2,1,Otros hogares sin niños,1,5,1,1,2021,23288.25,2,-1.792242417978413,43.36464868900576,-2.033693,43.256347
